章番号,問題番号,分類名称,問題文,借方,金額,貸方,金額,語群01,語群02,語群03,語群04,語群05,語群06,語群07,語群08,語群09,語群10,語群11,語群12,解説本文
SECT001,Q0100,商品売買（３分法）,商品￥200の仕入契約に際し、手付金として￥100を現金で支払った。,前払金,100,現金,100,現金,買掛金,繰越商品,仕入,前払金,前受金,-,-,-,-,-,-,仕入契約に際し、手付金を現金で支払った場合、「前払金（資産）」を仕訳します。#よって、#（借方）前払金100「資産の増加」#（貸方）現金100「資産の減少」#となります。#　#オマケ情報#簿記では、仕入れや売上げについて「契約」をしたのみでは仕入や売上の仕訳をしません。#本問では、「手付金を現金で支払った」部分のみ仕訳します。#なお、「手付金」とは、いわゆる「頭金」や「内金」と言われるもので、#実際に商品を仕入れたり売上げたりする前に払ったり受け取ったりするお金のことです。#この場合、払う側は「将来、商品がもらえる権利を手に入れた（資産の増加）」、#受け取る側は「将来、商品をあげなければならない義務を負った（負債の増加）」と考えるわけです。
SECT001,Q0110,商品売買（３分法）,￥300の商品を仕入れたので、手付金￥100を差し引いた残額について現金で支払った。,仕入,300,前払金,100,現金,買掛金,繰越商品,仕入,前払金,前受金,-,-,-,-,-,-,以前手付金を支払っていた仕入契約について、実際に仕入れを行った場合、前払金を充当して仕入（費用）を計上します。#つまり、「仕入」の金額は「前払金＋現金等」の金額となります。#よって、#（借方）仕入300「費用の増加」#（貸方）前払金100「資産の減少」#（貸方）現金200「資産の減少」#となります。
SECT001,Q0111,商品売買（３分法）,-,-,-,現金,200,現金,買掛金,繰越商品,仕入,前払金,前受金,-,-,-,-,-,-,-
SECT001,Q0120,商品売買（３分法）,商品￥300の売上契約に際し、内金として￥100を現金で受け取った。,現金,100,前受金,100,現金,売掛金,繰越商品,売上,前払金,前受金,-,-,-,-,-,-,仕入と同様、売上も「契約」のみでは「売上」の仕訳をしません。#本問では内金（＝手付金、頭金）を現金で受け取った部分のみ仕訳します。#なお、内金を受け取った側では「前受金（負債）」を使います。#よって、#（借方）現金100「資産の増加」#（貸方）前受金100「負債の増加」#となります。
SECT001,Q0130,商品売買（３分法）,￥800の商品を売上げたので、内金￥200を差し引いた残額について現金で受け取った,前受金,200,売上,800,現金,売掛金,繰越商品,売上,前払金,前受金,-,-,-,-,-,-,以前内金を受け取っていた売上契約について、実際に売上げを行った場合、前受金を充当して売上（収益）を計上します。#つまり、「売上」の金額は「前受金＋現金等」の金額となります。#よって、#（借方）前受金200「負債の減少」#（借方）現金600「資産の増加」#（貸方）売上800「資産の減少」#となります。
SECT001,Q0131,商品売買（３分法）,-,現金,600,-,-,現金,売掛金,繰越商品,売上,前払金,前受金,-,-,-,-,-,-,-
SECT001,Q0140,商品売買（３分法）,当店は商品券￥200を発行し、現金を受け取った。,現金,200,商品券,200,現金,商品券,他店商品券,売上,仕入,繰越商品,-,-,-,-,-,-,商品券を発行した場合「商品券」勘定（負債）を使用します。#よって、#（借方）現金200「資産の増加」#（貸方）商品券200「負債の増加」#となります。# #オマケ情報#商品券を発行した場合「負債の増加」として仕訳します。#これは、将来商品券を持ってきたお客さんに無料で商品を引き渡す義務を負うことになるからです。
SECT001,Q0150,商品売買（３分法）,商品￥300を売り上げた際に、当店発行の商品券￥200と残額については現金を受け取った。,商品券,200,売上,300,現金,商品券,他店商品券,売上,仕入,繰越商品,-,-,-,-,-,-,以前発行した商品券が持ち込まれた場合、商品を引き渡すことで義務がなくなります。#そこで商品券（負債）を減少させる仕訳をします。#よって、#（借方）商品券200「負債の減少」#（借方）現金100「資産の増加」#（貸方）売上300「収益の増加」#となります。
SECT001,Q0151,商品売買（３分法）,-,現金,100,-,-,現金,商品券,他店商品券,売上,仕入,繰越商品,-,-,-,-,-,-,-
SECT001,Q0160,商品売買（３分法）,商品￥400を売り上げた際に、他店発行の商品券￥500を受け取り、おつりを現金で支払った。,他店商品券,500,売上,400,現金,商品券,他店商品券,売上,仕入,繰越商品,-,-,-,-,-,-,他のお店が発行した商品券を受け取った場合、他店商品券（資産）の増加として仕訳します。#よって、#（借方）他店商品券500「資産の増加」#（貸方）売上400「収益の増加」#（貸方）現金100「資産の減少」#となります。# #オマケ情報#他店が発行した商品券を当社がもらった場合、後日発行店が現金と交換してくれます。#そこで、他店商品券は資産として仕訳をすることになるのです。
SECT001,Q0161,商品売買（３分法）,-,-,-,現金,100,現金,商品券,他店商品券,売上,仕入,繰越商品,-,-,-,-,-,-,-
SECT001,Q0170,商品売買（３分法）,当店が保有する他店商品券￥500と他店が保有する当店商品券￥400を交換し、残額について現金で精算をした。,商品券,400,他店商品券,500,現金,商品券,他店商品券,売上,仕入,繰越商品,-,-,-,-,-,-,当社と他店がそれぞれお互いの商品券をもっている場合、これを相殺して、差額を現金等で決済することになります。#よって、#（借方）商品券400「負債の減少」#（借方）現金100「資産の増加」#（貸方）他店商品券500「資産の減少」#となります。
SECT001,Q0171,商品売買（３分法）,-,現金,100,-,-,現金,商品券,他店商品券,売上,仕入,繰越商品,-,-,-,-,-,-,-
[EOF],,,,,,,,,,,,,,,,,,,,
