章番号,問題番号,分類名称,問題文,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説
SECT003,Q0110,外部効果,次のうち、外部効果として正しいものはどれか。,【１】技術進歩によって薄型テレビの価格が下落した。,【２】商店街の酒屋が郊外に出来た大型スーパーに客を奪われて閉店した。,【３】テレビで紹介されたラーメン店の売上が急増した。,【４】多くの樹木に囲まれた古い大きな民家の周辺住民が、良好な住環境にあると感じている。,【５】-,4,【４】多くの樹木に囲まれた古い大きな民家の周辺住民が、良好な住環境にあると感じている。,正解は選択肢4。#ある経済主体の行動が市場を通さないで、他の経済主体に影響を与えることを「外部効果」と呼ぶ。#選択肢１は薄型テレビの供給曲線が技術進歩によって右にシフトしたことを意味する。#選択肢２は大型スーパーができたことで、酒屋への需要が減少したことを意味する。#選択肢３はテレビの紹介がきっかけとなって、やはり、その店に対する需要が増加したことを意味する。#従って、これらはいずれも市場を通した効果と言える。#選択肢４は外部効果の典型的なケースである。
SECT003,Q0120,独占企業,独占企業について、正しくないものは次のうちどれか。,【１】独占企業にとって、利潤極大の価格は、需要の価格弾力性が大きくなればなるほど限界費用に近づく。,【２】独占企業は、生産・供給量及びその価格を決定することができる。,【３】独占企業に置いても、利潤極大化点では、限界収入＝平均収入である。,【４】独占企業においても、利潤極大化の条件は、限界収入＝限界費用が成り立つことである。,【５】-,3,【３】独占企業に置いても、利潤極大化点では、限界収入＝平均収入である。,正解は選択肢3。#独占企業においても、利潤極大化の条件は、限界収入＝限界費用が成り立つことである。従って選択肢１と４は正しい記述である。#選択肢２は独占企業が生産量と価格を決定できるので、これも正しい記述である。#選択肢３は独占企業が価格の決定権を持っており、その財に対する需要曲線は右下がりであることから、限界収入と平均収入は一致しない。
SECT003,Q0130,独占的競争,独占的競争市場に関して、正しくないものはどれか。,【１】同種類の製品を生産する企業が多数存在する。,【２】企業の供給する財は、互いに代替的であるものの製品の差別化が見られる。,【３】長期的には、市場における均衡価格が各社の限界費用を上回る。,【４】超過利潤があるために企業の参入・退出は生じない。,【５】-,4,【４】超過利潤があるために企業の参入・退出は生じない。,正解は選択肢4。#独占的競争市場は、企業数が極めて多いという点で完全競争市場と同様である。しかし、各社の提供する財は差別化されているので、それぞれの企業は右下がりの需要曲線に直面している。こうした点は、独占市場に類似する。以上から、選択肢１と２の記述は正しい。#各企業の直面する需要曲線が右下がりであることから、企業の利潤極大条件である限界収入＝限界費用を実現する供給量のもとで、財の価格は限界収入を上回る。従って、選択肢３も正しい記述である。#企業の参入と退出は、財の価格と平均費用の大小によって決まる。価格が絶えず限界費用を上回る場合でも、平均費用は価格を下回って損失が出る場合が生じるならば、参入が起こる。従って、選択肢４が誤りである。#ここで市場の参入・退出の条件を改めて整理すると、#価格＞限界費用：参入#価格＜限界費用：退出#という関係が成立する。
SECT003,Q0140,情報の不完全性,情報の不完全性に関する記述として、正しくないものはどれか。,【１】情報を持つ側が、その品質に関する情報を提供することで自らの商品の優位性をアピールすることをシグナリングという。,【２】情報を持たない側が、複数の契約を提示して、その中から相手に選択させることを自己選択という。,【３】エージェンシー問題は、プリンシパルがエージェンシーの行動を完全に監視できないことから生じるが、このことはモラルハザードを生じさせる原因となる。,【４】労働者のモラルハザードを防ぐには、固定賃金契約の採用が望ましい。,【５】-,4,【４】労働者のモラルハザードを防ぐには、固定賃金契約の採用が望ましい。,正解は選択肢4。#選択肢１から３はいずれも正しい。#選択肢４では、労働者のモラルハザードを防止するためには固定賃金契約よりインセンティブ契約が適当である。
SECT003,Q0150,不確実性と情報,高校生が将来において、より良い就職を実現するために、受験勉強に励んで有名大学に進学することは、次のどの選択肢と関係しているか。,【１】シグナリング,【２】自己選択,【３】逆選択,【４】モラルハザード,【５】-,1,【１】シグナリング,正解は選択肢1。#企業にとっては、学生の能力について完全な情報を持っているわけではない。学生が自らの情報を相手側に提示することを「シグナリング」というが、その学生の学歴は、企業が学生の情報を得ようとするときシグナリングの機能を果たしている。
SECT003,Q0160,GDPの拡大と乗数理論,乗数理論にもとづいて考えた場合に正しい記述は次のうちどれか。,【１】景気対策として政府支出を拡大するに際して、財政収支の均衡を無視した場合には、財貨市場の均衡式Y=C+I+G+X-Mを前提にすると、１兆円の政府支出が同式の右辺を同額だけ拡大させる結果、最終的に同式がバランスを達成するためにGDPも１兆円拡大することになる。,【２】財政収支の均衡を無視して政府が投資を増やす場合において、何らかの理由により限界消費性向が上昇したとすれば、GDPはより一層拡大することになる。,【３】現状の我が国の景気対策としては、不効率な公共事業による支出に替えて、経済主体の合理的行動の結果として、消費が拡大し、その結果、経済の効率性が増すことにつながる減税のほうが、より有効な政策である。,【４】マクロの貯蓄の増大は設備投資に用いる資金量を増大させ、資本コストを低下させるので、その結果として設備投資を拡大し、生産性も向上するため、GDP成長率を高める。,【５】-,2,【２】財政収支の均衡を無視して政府が投資を増やす場合において、何らかの理由により限界消費性向が上昇したとすれば、GDPはより一層拡大することになる。,正解は選択肢2。#選択肢１は、財政の均衡を無視して政府が政府支出を拡大した場合には、乗数理論に基づいて、乗数倍の国民所得拡大効果をもつ。財政収支の均衡を考慮した場合の国民所得拡大効果は１である。すなわち、均衡財政乗数は１である。#選択肢２について、限界消費性向の上昇は、乗数の値を上昇させることになるため、国民所得の拡大効果は増加する。#選択肢３について、財政政策としては、減税よりも公共事業等の政府支出を拡大させる方が景気刺激効果は高い。#選択肢４について、マクロ貯蓄の増大は、有効需要を減少させ、GDPを減少させる。
SECT003,Q0170,総需要管理政策,ケインズの総需要管理政策が有効になる場合として、正しくないものはどれか。,【１】名目物価水準が硬直的な場合,【２】自発的な労働移動により、失業率が上昇している場合,【３】最新鋭設備を備えた工場施設の稼働率が低下している場合,【４】家計が市場金利によって、住宅ローンや消費者ローンを借り入れることが難しい場合,【５】-,2,【２】自発的な労働移動により、失業率が上昇している場合,正解は選択肢2。#政府が行うべきケインズ理論にもとづいた有効需要管理政策は、働きたいのに働くことができない非自発的失業者を解消することが目的である。自らの意思で働かない自発的失業者については政策の埒外にある。
SECT003,Q0180,乗数の大きさと政策効果,公共投資等の政府支出の拡大と減税について、どちらの政策がより大きいものであるのかは、それぞれの乗数の大きさを比較することによって明らかとなる。両者に関する乗数を比較した場合に正しいものはどれか。,【１】効率的でない無駄な政府支出を行う場合は、消費者の消費行動を慎重にするため、減税の方が乗数が高くなることがある。,【２】限界消費性向は１以下であることから、減税よりも、直接的に有効需要として作用する政府支出乗数の方が大きい。,【３】政府支出増の財源が公債発行によって賄われる場合には、将来の増税を予測して、貯蓄が増加するために、乗数が限りなくゼロに近づく可能性も否定できない。減税の場合にはこうした予測が働かないため、減税の乗数のほうが相対的に高くなる可能性がある。,【４】減税の方が家計の所得に直接影響するので、家計の購買意欲を高め、乗数が大きくなる可能性がある。,【５】-,2,【２】限界消費性向は１以下であることから、減税よりも、直接的に有効需要として作用する政府支出乗数の方が大きい。,正解は選択肢2。#選択肢１について、乗数理論には、政府支出が無駄なものがあるかどうかといった質的視点は一切含まれていない。#選択肢２は乗数理論にもとづいて正しい。減税を通じた効果は、減税に伴って拡大した所得のうち限界消費性向分しか有効需要として作用しないため、直接に有効需要として作用する政府支出より政策効果は小さくなる。#現在の財政政策に関する財源調達が公債でなされる場合に、その返済のために将来増税されるだろうという予測は、財政支出拡大による政策の場合も、減税の場合も等しく生ずる可能性がある。#選択肢４の購買意欲の向上については、経済理論にもとづいて定量化できていない。
SECT003,Q0190,公共投資の景気刺激効果,最近、我が国の公共投資の景気刺激効果が低下していると言われているが、その理由として正しいものはどれか。,【１】マンデルフレミングモデルが示すように、政府の財政支出の拡大により、資金市場の逼迫から円高を招き、輸出を減少するので、財政の拡大効果が顕在化しにくい。,【２】民間の設備投資がクラウディングアウトされている。,【３】海外への工場移転が進展していることによって輸入性向が高まっていく。,【４】将来への不安から家計の恒常所得の予感が修正され、、その結果として消費が手控えられていることが考えられる。,【５】-,4,【４】将来への不安から家計の恒常所得の予感が修正され、、その結果として消費が手控えられていることが考えられる。,正解は選択肢4。#選択肢１について、政府の財政支出の拡大は、金融市場において資金の逼迫をもたらす可能性があるが、現在の我が国は超金融緩和の状況にあるため、マンデルフレミングモデルが示すように資金の逼迫による金利上昇が円高をもたらすというプロセスは生じていないと考えられる。#選択肢２について、現在の金融緩和のもとでは金利上昇が生じないために、クラウディングアウトも起こらない。#選択肢３について、輸入関数を想定した乗数によれば、輸入性向の上昇は乗数を低下させるが、現在のところ輸入性向の上昇は現実的に確認されていない。#選択肢４は我が国の最近における消費需要が伸びない要因についての経済学的説明として妥当である。
SECT003,Q0200,財政活動と政策効果,財政活動がGDPに与える影響(乗数効果)について、正しいものはどれか。,【１】失業保険等の社会福祉制度は財政支出とは関係ないので、こうした政府活動の結果は乗数効果をもたらさない。,【２】均衡予算が維持される場合、財政支出の乗数とその支出を賄うための所得税の増税の乗数は互いに打ち消し合うので、乗数は１となる。,【３】公共工事は財政支出を増やし、減税は財政収支を減らすため、どちらも財政収支への影響、乗数効果ともに同じになる。,【４】所得税減税は、それによって影響を受けた経済活動の成果の一部が政府に還元されることになって、乗数は１となる。,【５】-,2,【２】均衡予算が維持される場合、財政支出の乗数とその支出を賄うための所得税の増税の乗数は互いに打ち消し合うので、乗数は１となる。,正解は選択肢2。#選択肢２は均衡財政乗数で１となる。選択肢は社会福祉制度によって交付された資金が消費に向かうことから経済拡大効果を有するので誤り。選択肢３と４については意味が不明である(類似の問題が本試験で出題されているため、あえて本問題を採用した)。
[EOF],,,,,,,,,,,
