章番号,問題番号,分類名称,問題文,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説,
SECT001,Q0110,株式流通市場,株式流通市場に関する次の記述のうち、正しくないものはどれですか。,主に新興企業株を取扱ってきたジャスダックは、現在では証券取引所になっている。,日本では、取引開始時には、「板寄せ」方式で約定価格が決められる。,証券会社が提供する私設取引システムは、立会外取引と位置づけられる。,日本では、当日約定された株価を約定株数で加重平均した価格で株式の発注を行うことができる。,【５】-,3,証券会社が提供する私設取引システムは、立会外取引と位置づけられる。,立会外取引は、東京証券取引所のTosTNetのように、証券取引所の提供するシステムを用いて証券取引所内で行われている相対取引を指す。 証券会社が提供する私設取引システムは、取引所外取引と呼ばれている。,
SECT001,Q0120,証券流通市場,証券流通市場に関する次の記述のうち、正しくないものはどれですか。,株式派生商品には、株価指数連動型債券や個人投資家向けのオプション（カバード・ワラント）などが含まれる。,日本の証券取引所における株式売買では、マーケットメイキング型の約定方式を採用している。,機関投資家が証券会社に大量の発注をする場合、VWAP(volume weighted average price)を指定する場合が増えている。,レポ市場は、投資家が保有している現物の活用や資金調達のための手段としても用いられている。,【５】-,2,日本の証券取引所における株式売買では、マーケットメイキング型の約定方式を採用している。,日本の証券取引所が採用しているのは、マーケットメイキング型ではなくオーダードリブン型である。#債券の貸借市場（レポ市場）・・・元来は空売りした債券の現物を調達するための市場であるが、現先市場的に、資金運用や資金調達のために 用いることも可能である。,
SECT001,Q0130,株式派生商品市場,株式派生商品市場に関する次の記述のうち、正しくないものはどれですか。,個別株式を対象とするオプション取引は、リスクの高さを理由に日本では採用されていない。,株式派生商品市場では、売りと買いのどちらのポディションでも作ることができる。,株式派生商品には、証券会社と相対で契約するものも存在する。,株価指数先物価格と株価指数の水準に大幅な乖離が生じた場合には、裁定取引で利益を得ることが可能になる。,【５】-,1,個別株式を対象とするオプション取引は、リスクの高さを理由に日本では採用されていない。,個別株式を対象とする株券オプション（有価証券オプション）は、日本でも取引されている。,
SECT001,Q0140,証券会社,証券会社に関する次の記述のうち、正しいものはどれですか。,PTS業務は、金融商品取引法によって登録制となった。,資金調達に関する業務であるアンダーライティングにおいて、アンダーライターにはリスクが発生しない。,証券ビッグバンにより、証券会社の営業収益は、株式売買委託手数料への依存度が上昇した。,ディーリングを業務として行うために、証券会社は自己の勘定で有価証券を保有する必要がある。,【５】-,4,ディーリングを業務として行うために、証券会社は自己の勘定で有価証券を保有する必要がある。,1:PTS業務は取引所と類似の機能を提供するため、金融商品取引業者とし登録を受けた上で、認可を要することとされている。#2:資金調達者の資金調達を確実なものにするため、アンダーライターは残額引受あるいは資金引受によりリスクを負担する。#3:証券ビッグバンにより、株式売買委託に関する手数料が完全自由料率制へ移行したため、証券会社において株式委託手数料が占める営業収益 の割合は低下した。#4:ディーリングでは、投資家が売り注文を出した場合、それを買い取らねばならない可能性が高い。逆に投資家の買い注文に即座に 対応するため、買い注文の出そうな証券を日頃から保有する必要があり、証券会社は自分自身の勘定で有価証券を保有する。#■アンダーライター・・・資金調達に関する情報を収集し、資金調達者に対して提供する。新規発行証券の発行条件を決定する。アンダーライターは 売出した証券が売れ残った場合は自らの資金で、売れ残った証券を買い取る。これが、アンダーライターのリスクとなる。#■ディーラー・・・証券の売買注文を取扱う。自己勘定で株式を保有し、自己勘定で顧客の売買注文に応じる金融仲介機関。,
SECT001,Q0150,証券会社,証券市場に関する次の記述のうち、正しいものはどれですか。,ブローカレッジでは、投資家の買い注文に応じるため、日頃から在庫を持つ必要がある。,証券業は免許性である。,年金基金は機関投資家の１つである。,債券の場合、最大の保有者は海外投資家である。,【５】-,3,年金基金は機関投資家の１つである。,1:投資家の買い注文に応じるために日頃から在庫を持つ必要があるのはディーリングである。#2:証券業は原則として内閣総理大臣への登録制である。#4:最大の保有者は国内の機関投資家と金融機関である。,
SECT001,Q0160,景気動向指数,景気拡大期の景気動向指数に関する次の記述のうち、正しいものはどれですか。,所定外労働時間指数の上昇は、景気拡大に伴う企業活動の活発化を表しており、一致系列である。,大口電力使用量は、景気拡大に伴い上昇することから、先行系列である。,法人税収入の増加は、景気拡大が企業業績へ反映した結果であり、一致系列である。,有効求人倍率は、景気拡大に備えて雇用を拡大することから、先行系列である。,【５】-,1,所定外労働時間指数の上昇は、景気拡大に伴う企業活動の活発化を表しており、一致系列である。,2:大口電力使用量は一致系列である。#3:法人税収入は遅行系列である。#4:有効求人倍率は一致系列である。,
SECT001,Q0170,セグメント情報,会計基準に従って開示されたセグメント情報に関する次の記述のうち、正しいものはどれですか。,セグメント情報は、マネジメント・アプローチではなく、取引所による事業セグメント定義に基づいて開示される。,事業セグメントとは、企業の意思決定に従って経営資源が配分され、収益・費用が生じ、分離された財務情報が入手できるものである。,売上高、利益、資産で１０％以上の量的基準に満たないセグメントは、報告セグメントとして開示してはならない。,報告セグメントの外部顧客への売上高の合計額が７５％未満の場合は、それ以上セグメントを追加する必要はない。,【５】-,2,事業セグメントとは、企業の意思決定に従って経営資源が配分され、収益・費用が生じ、分離された財務情報が入手できるものである。,1:開示はマネジメント・アプローチによる。#3:開示義務はないが、開示しても問題ない。#4:報告セグメントの外部顧客への売上高の合計額が７５％以上となるまで、事業セグメントを追加する必要がある。,
SECT001,Q0180,企業収益,企業収益に関する次の記述のうち、正しいものはどれですか。,事業利益は本業の収益力を表す利益で、受取利息・配当金なで金融収益を含まない。,営業利益は営業活動から得られる利益を表し、売上高から売上原価を控除した利益である。,経常利益は営業利益に金融収益や金融費用など営業外損益を加算した利益である。,営業外収益には利息や配当金の受取り、営業外費用には利息や配当金の支払いが含まれる。,【５】-,3,経常利益は営業利益に金融収益や金融費用など営業外損益を加算した利益である。,1:事業利益は営業利益と財務活動からの金融収益の合計であり、受取利息や配当金も含む。#2:営業利益＝売上高　－　売上原価　－　販売非及び一般管理費。#4:配当金の支払いは営業外費用には含まれない。税引後の当期純利益から支払がされる。その他記載は合っている。#事業利益とは営業活動からの営業利益と財務活動からの金融収益の合計。#i.e.事業利益　＝　営業利益　＋　受取利息　＋　受取配当金　＋　持分投資損益,
SECT001,Q0190,EPS,ROEが２０％、ROAが１６％、BPS（1株あたり純資産）が100円のとき、EPS（1株当たり当期純利益）はいくらですか。なお、ROE、ROA、BPS、EPSの分母は 期末値とする。,16円,20円,26円,10円,【５】-,2,20円,それぞれの意味は下記の通りであるので、EPS＝ROE×BPSで求められる。分母と分子の自己資本が相殺される。#よって、0.2×100円=20円となる。#■ROE(Return on Equity：株主資本利益率)・・・当期純利益/自己資本#■ROA(Return on Assets：総資産利益率)・・・当期純利益/総資産#■BPS(Book-value per Share:一株あたり純資産)・・・自己資本(純資産)/期末発行済株式数#■EPS(Earning per Share：一株あたり利益)・・・当期純利益/普通株式の期中平均発行済株式数,
SECT001,Q0200,ROE,売上高当期純利益率が2％、総資本回転率が5回、財務レバレッジが2倍のとき、ROEはいくらですか。,0.8％,4.0％,8.0％,20.0％,【５】-,4,20.0％,ROE＝売上高当期純利益率×総資本回転率×財務レバレッジで求められる。#よって、0.02×5×2=0.2=20％となる。,
SECT001,Q0210,資産と債務の回転率,資産と債務の回転率に関する次の記述のうち、正しいものはどれですか。,棚卸資産回転率が高いほど、製品や商品が在庫になっている期間が長い。,素材産業や製造業などに比べて、小売業では一般に棚卸資産回転率が高い。,買入債務回転期間は、原材料や商品の仕入れから売上計上までの日数の推計を表している。,資本投下の長期効率性を評価する固定資産回転率は、総資産回転率よりも低い。,【５】-,2,素材産業や製造業などに比べて、小売業では一般に棚卸資産回転率が高い。,1:棚卸資産回転率が高いほど、製品や商品が在庫になっている期間が短い。#2:正しい。#3:買入債務回転期間は、原材料や商品の仕入れから支払いまでの日数を表している。#4:資本投下の長期効率性を評価する固定資産回転率は、総資産回転率よりも高い。,
SECT001,Q0220,１株当たり利益,１株当たり利益に関する次の記述のうち、正しくないものはどれですか。,1株当たり利益は普通株式に係る当期純利益を期末株式数で除して算出する。,普通株主に帰属しない金額には、優先配当額が含まれる。,潜在株式について、実際に権利が行使された時は、その株式数を普通株式数に含める。,期中に株式分割が行われた場合は、それが期初に行われたとして株式数を算出する。,【５】-,1,1株当たり利益は普通株式に係る当期純利益を期末株式数で除して算出する。,1株当たり利益は普通株式に関わる当期純利益を期中平均株式数で除して算出する。,
SECT001,Q0230,均衡期待収益率,リスクフリー・レートが2.0％、マーケット・リスクプレミアムが6％のとき、株式ベータが1.2の株式の均衡期待収益率について、正しいものはどれですか。 ただし、均衡期待収益率はCAPMに従って形成される。,市場ポートフォリオの期待収益率より高い。,市場ポートフォリオの期待収益率と等しい。,市場ポートフォリオの期待収益率より低い。,市場ポートフォリオの期待収益率との大小関係は一概にはいえない。,【５】-,1,市場ポートフォリオの期待収益率より高い。,市場ポートフォリオのβは1.0となる。よって、市場ポートフォリオの期待リターンは2％＋1.0×6％＝8％となる。#株式の期待リターンは2％＋1.2×6％＝9.2％#ここで用いているCAPMとは多くの株式からなるマーケットをベンチマークとして，個別株式のリスク・リターン関係を表す。 マーケット全体のリスクに対するプレミアムをマーケット・リスクプレミアム（エクイティ・リスクプレミアム）という。 ,P53
SECT001,Q0240,配当割引モデルによる理論価格,2012年度末時点で、X社は2013年度と2014年度に無配とするが、2015年度末に1株当たり5円の配当を行い、その後は毎年5％ずつ増配していく予定である。 X社に対する株主の要求収益率が10％で一定とすると、現時点（2012年度末）で配当割引モデルによる理論株価はいくらですか。,50円,75円,83円,91円,【５】-,3,83円,まず2014年度末時点の理論株価（その時点の現在価値）を求める。#X社は配当の成長率gが5％と一定の成長率となり、当初の配当DIV1が5円、株主資本コストが10％ であるので、5/(0.1-0.05)=100円#2013年、2014年は無配であるため、2年分の株主資本コストで割引けば2012年度末時点の理論株価が算出できる。#よって、100/(1+0.1)2=82.64≒83円,
SECT001,Q0250,ゼロ成長配当割引モデル,ゼロ成長配当割引モデルについて、現在の理論価格が500円であるとき、1年後の理論株価の期待値はいくらですか。 ただし、リスクフリー・レートは2.0％、株式の均衡期待収益率は5.0％とする。,476円,490円,500円,510円,【５】-,3,500円,０成長率配当割引モデルでは常に配当額が一定であるため、理論株価は変わらない。#実際に計算してみても、配当額＝500×0.05=25円#理論株価＝25/0.05=500円,
SECT001,Q0260,企業価値EBITDA比率,Z社の今期の売上高は2000億円、減価償却費は100億円、営業利益は500億円、純利益は200億円、今期末の有利子負債総額は1200億円、株式時価総額 は2400億円とする。このとき、Z社の今期の企業価値EBITDA比率はいくらですか。,４倍,６倍,８倍,９倍,【５】-,3,８倍,企業価値・・・有利子負債総額＋株式時価総額#EBITDA(Earnings before Interests Tax Depreciation and Amortization）・・・営業利益＋減価償却費#企業価値EBITDA比率　＝　企業価値/EBITDA#企業価値＝1200億円＋2400億円＝3600億円#EBITDA＝500億円＋100億円＝600億円#よって、3600億円/600億円＝6,
SECT001,Q0270,企業価値EBITDA比率,株式の評価尺度に関する次の記述のうち、正しくないものはどれですか。,PBRは1株当たり自己資本というストックとの比較で株価を評価する尺度である。,負債のある企業を評価する場合、株価EBITDA比率は企業価値EBITDA比率よりも評価指標として適切である。,株価売上高比率はその企業の売上高利益率のノーマルな水準が業界平均や同業他社と同等の水準と考えて株価評価しているといえる。,益回りと債券利回りの差は、株式と債券の相対的な有利さを判断することに使われる。,【５】-,2,負債のある企業を評価する場合、株価EBITDA比率は企業価値EBITDA比率よりも評価指標として適切である。,負債のある企業の場合、負債を考慮した指標である企業価値EBITDA比率を用いる方が適切である。#PBR(Price Book-Value Ration:株価純資産倍率)・・・株価/1株あたり自己資本#企業価値EBITDA比率＝（有利子負債総額＋株式時価総額）/EBITDA#株価EBITDA比率＝株価/1株あたりEBITDA,
SECT001,Q0280,CAPM,配当はサステイナブル成長率で永続的に成長すると仮定する。株式の均衡期待収益率（株主の要求期待収益率）は、CAPMに 従って形成されると仮定する。リスクフリー・レートは２％、マーケット・リスクプレミアムは５％である。理論株価の算出には配当割引モデル を用いた時、均衡期待収益率10％の有利子負債のない会社の配当直後の株式ベータはいくらか。,1,1.4,1.6,2,【５】-,3,1.6,CAPM(Capital Asset Pricing Model：資本資産評価モデル):多くの株式からなるマーケットをベンチマークとして，個別株式のリスク・リターン関係を表す。 マーケット全体のリスクに対するプレミアムをマーケット・リスクプレミアム（エクイティ・リスクプレミアム）という。 この計算式によると、10％＝２％＋ベータ×５％よって、ベータ＝８％/５％、これをといて、 ベータ＝１．６となる。,
SECT001,Q0290,CAPM,理論株価の算出には配当割引モデル を用いた場合、自己資本簿価1億円、ROE10%、サステナブル成長率ゼロ、均衡期待収益率10％である企業の理論株価として正しいものはどれか。ただしこの企業は配当落ち直後で有利子負債ゼロ、発行済株式数は1億株である。また配当はサステイナブル成長率で今後永続的に成長し、株式の均衡期待収益率（株主の要求期待収益率）はCAPMに 従って形成される。リスクフリー・レートは２％、マーケット・リスクプレミアムは５％である。,100円,500円,800円,1000円,【５】-,4,1000円,この企業のサステイナブル成長率は０なのでゼロ成長率モデルを適用して理論株価を算出する。よって、配当額がわかればよい。#ROE(Return on Equity)・・・株主資本利益率＝当期純利益/株主資本#ROEが10％で自己資本が1000億円なので、当期純利益は100億円であることがわかる。#ゼロ成長率モデルでは当期純利益は全て配当となるので、配当金は100億円となり、1株あたりの 配当金額は100円となる。#ゼロ成長率モデルの理論株価算出式を用いると100/0.1=1000円となる。,
SECT001,Q0300,株式の理論株価,自己資本簿価1000億円、ROE10%、サステイナブル成長率４％、均衡期待収益率が8％のとき、この企業の株式の理論株価はいくらですか。ただし、現在は配当落ち直後のデータであり、有利子負債はなく、発行済株式数は1億株とする。 配当はサステイナブル成長率で永続的に成長すると仮定する。株式の均衡期待収益率（株主の要求期待収益率）は、CAPMに 従って形成される。リスクフリー・レートは２％、マーケット・リスクプレミアムは５％である。理論株価の算出には配当割引モデル を用いて良い。,1000円,1500円,2000円,2500円,【５】-,2,1500円,サステイナブル成長率の算出式を用いて配当額を求める。#今期の当期純利益はROEが１０％、自己資本が1000億円なので、1000億円×１０％＝100億円となる。#サステイナブル成長率が４％、ROEが１０％であるから、配当性向は４％＝１０％×（１－配当性向）より、 配当性向＝１－０．４＝０．６＝６０％となり、配当額は６０億円と求まる。#よって、理論株価は60/(0.08-0.04)=1500となる。#サステナブル成長率モデルとは、毎期の配当が一定率で成長するモデルで、理論株価=1株配当/(株主資本コスト-サステナブル成長率)で表現される。,
SECT001,Q0310,PBR,自己資本簿価1000億円、ROE10%、サステナブル成長率4%、均衡期待収益率が12％のとき、この企業のPBRについて正しいものはどれですか。ただし、今は配当落ち直後であり、有利子負債はなく、発行済株式数は1億株であり、配当はサステイナブル成長率で永続的に成長すると仮定し、株式の均衡期待収益率はCAPMに従って形成される。リスクフリー・レートは２％、マーケット・リスクプレミアムは５％である。理論株価の算出には配当割引モデル を用いて良い。,1倍を下回る。,1倍に等しい。,1倍を上回る。,一概に言えない,【５】-,1,1倍を下回る。,サステイナブル成長率の算出式を用いる。今回のY社の配当額を求める。#今期の当期純利益はROEが１０％、自己資本が1000億円なので、1000億円×１０％＝100億円となる。#サステイナブル成長率が４％、ROEが１０％であるから、配当性向は４％＝１０％×（１－配当性向）より、 配当性向＝１－０．４＝０．６＝６０％となり、配当額は６０億円と求まる。#よって、理論株価は60/(0.12-0.04)=750となる。#PBR(Price Book-Value Ratio：株価純資産倍率）＝株価/自己資本で750/1000=0.75となり1倍を下回る。,
SECT001,Q0320,配当政策と理論株価,ROEが均衡(株主)期待収益率に等しい企業において、配当政策と理論株価について正しいものはどれですか。,配当性向を高めると株価は上昇する。,配当性向を高めると株価は下落する。,配当性向を高めても株価は変化しない。,配当性向と株価の関係は一概にはいえない。,【５】-,3,配当性向を高めても株価は変化しない。,理論株価＝配当額/(期待収益率－サステイナブル成長率）＝配当性向×当期純利益/(期待収益率　－　ROE×（１－配当性向））であるが、本題では期待収益率とROEが同一の値であるから、式にあてはめると、理論株価＝配当性向×当期純利益/ROE×配当性向＝当期純利益/ROEとなり、配当性向が株価に影響しないことがわかる,
SECT001,Q0330,ROEと配当性向,A社の投資家の要求収益率は１５％で一定、サステイナブル成長率を１０％とし、ROE、配当性向はそれぞれ一定とする。当期EPS55円、当期DPS（一株配当)33円、当期期首BPS220円であるA社は負債を持たず配当支払い以外の資本取引を行わず配当は期末に支払われる。A社のROEと配当性向はそれぞれいくらですか。,ROEは２０％、配当性向は２０％,ROEは２０％、配当性向は５０％,ROEは２５％、配当性向は５０％,ROEは２５％、配当性向は６０％,【５】-,4,ROEは２５％、配当性向は６０％,ROE(Retrun on Equity:株主資本利益率)＝当期純利益/自己資本なので、55/220=25％となる。配当性向は配当額/当期純利益なので、33/55=0.6=60％となる。,
SECT001,Q0340,EPSとDPS,A社の投資家の要求収益率は１５％で一定、サステイナブル成長率を１０％とし、ROE、配当性向はそれぞれ一定とする。前期EPS55円、前期DPS（一株配当)33円であるA社は負債を持たず配当支払い以外の資本取引を行わず配当は期末に支払われる。A社の当期1株当たり利益(EPS)と1株当たり配当(DPS)はそれぞれいくらですか。,EPSは55.0円、DPSは33.3円,EPSは60.0円、DPSは33.3円,EPSは60.0円、DPSは36.3円,EPSは60.5円、DPSは36.3円,【５】-,4,EPSは60.5円、DPSは36.3円,サステイナブル成長で配当性向が一定なので、利益もサステイナブル成長率で成長する。よって、1.1×55=60.5#DPSも同様に33×1.1＝36.3,
SECT001,Q0350,残余利益モデル,残余利益モデルに関する次の記述のうち、正しくないものはどれですか。,残余利益とは、純利益から期首自己資本に要求期待収益率を掛けたものを差引いた結果である。,毎期の残余利益の割引現在価値合計が、株式の理論価値となる。,クリーンサープラス関係を前提とすれば、今期純利益と今期期首自己資本の和から今期期末自己資本を差引いたものが、今期配当に等しい。,クリーンサープラス関係を前提とすれば、残余利益モデルは配当利益モデルと整合的なことを示すことができる。,【５】-,2,毎期の残余利益の割引現在価値合計が、株式の理論価値となる。,毎期の残余利益の割引現在価値合計と期首の自己資本の和が株式の理論価値となるため、2が誤り。,
SECT001,Q0360,残余利益モデル,A社の投資家の要求収益率は15%で一定、サステイナブル成長率を10%とし、ROE、配当性向はそれぞれ一定とする。今期一株あたり残余利益22円、期首BPS220であるA社は負債を持たず配当支払い以外の資本取引を行わず配当は期末に支払われる。残余利益モデルにおける理論株価による第2期期首のA社株式の理論株価はいくらですか。,600.0円,660.0円,666.7円,781.2円,【５】-,2,660.0円,理論株価＝自己資本＋今期残余利益/(要求収益率－サステイナブル成長率)#であるから、220+22/(0.15-0.1)=55+22×0.05=660円,
SECT001,Q0370,残余利益とBPS,期待収益率15%で一定、当期EPS60円、当期BPS242円、前期期首BPSが220円、前期残余利益が22円の時、当期のBPS(期首)と1株当たり残余利益はそれぞれいくらですか。,BPSは231円、1株当たり残余利益は20.0円。,BPSは242円、1株当たり残余利益は22.0円。,BPSは242円、1株当たり残余利益は23.7円。,BPSは288円、1株当たり残余利益は24.2円。,【５】-,3,BPSは242円、1株当たり残余利益は23.7円。,前期BPSと前期残余利益から当期BPSは220+22=242円となる。#残余利益＝純利益 - BPS×要求収益率＝60　-　242×0.15＝60-36.3＝23.7円,
SECT001,Q0380,債券利回り,債券の利回りに関する次の記述のうち、正しくないものはどれですか。,直接利回りには、満期まで保有した場合のキャピタルゲインまたはロスが考慮されていない。,アンダーパー債券の最終利回りはキャピタルロスを考慮しているため、同債券の直接利回りより低い。,オーバーパー債券では、単利最終利回りは複利最終利回りより低い。,アンダーパー債券では、クーポンレートは複利最終利回りより低い。,【５】-,2,アンダーパー債券の最終利回りはキャピタルロスを考慮しているため、同債券の直接利回りより低い。,アンダーパー債券の最終利回りはキャピタルゲインとなり、直接利回りプラス、売却益があるので、直接利回りより高い。#アンダーパー債券・・・債券価格が額面より低い債券。#オーバーパー債券・・・債券価格が額面より高い債券。#最終利回り・・・債券の現在価格と将来キャッシュフローの割引現在価値を等しくする１つの割引率。#直接利回り・・・債券から得られる利益のうち利子だけを評価する利回り。#単利最終利回り・・・利子と償還損益を評価した利回り。償還損益を残存年で均等に割って利回りを算出する。#複利最終利回り・・・利子と償還損益を評価した利回り。各年の利子（クーポン）を次年度に再投資すると考える。,
