章番号,問題番号,分類名称,問題文,借方,金額,貸方,金額,語群01,語群02,語群03,語群04,語群05,語群06,語群07,語群08,語群09,語群10,語群11,語群12,解説
SECT008,Q0101,決算整理等,-,雑損,600,現金過不足,800,旅費交通費,支払利息,受取利息,雑益,雑損,現金過不足,-,-,-,-,-,-,-
SECT008,Q0110,決算整理等,過去に現金過不足勘定で処理しておいた現金超過額￥600の原因を調査したところ、A商店に対する買掛金の支払分￥100とB商店からの売掛金の回収分￥200の記帳漏れと判明した残りの超過額については不明のため、雑益勘定として処理することにした。,買掛金,100,売掛金,200,売掛金,買掛金,現金過不足,雑益,雑損,引出金,-,-,-,-,-,-,帳簿と実際の差額の原因が判明しなかった場合、現金過不足を取り崩し、現金が不足していた場合は「雑損」、過剰であった場合は「雑益」を計上します。#本問では結局500の超過の原因が判明しなかったため、#（借方）買掛金100「負債の減少」#（借方）現金過不足600#（貸方）売掛金200「資産の減少」#（貸方）雑益500「収益の増加」#となります。
SECT008,Q0111,決算整理等,-,現金過不足,600,雑益,500,売掛金,買掛金,現金過不足,雑益,雑損,引出金,-,-,-,-,-,-,-
SECT008,Q0120,決算整理等,決算日に現金の実際有高が帳簿残高より￥500不足していた。原因を調査したところ、通信費の支払額￥900を￥200と誤記入していたことが判明した。なお、残額については原因不明のため、雑益として処理することとした。,通信費,700,現金,500,現金,当座預金,現金過不足,雑益,雑損,通信費,-,-,-,-,-,-,決算時に帳簿と実際の差額が判明し、そのまま調査を行ったものについては、現金過不足を計上せず、直接正しい仕訳を行います。#本問では通信費の計上が700不足していました。これを反映した結果、帳簿よりも実際の方が200過剰であることになります（もともと500不足だったが、通信費分の700を調整したため200過剰となる）。#しかし、その過剰である原因は判明しなかったため雑益として処理することになります。#よって、#（借方）通信費700「費用の増加」#（貸方）現金500「資産の減少」#（貸方）雑益200「収益の増加」#となります。
SECT008,Q0121,決算整理等,-,-,-,雑益,200,現金,当座預金,現金過不足,雑益,雑損,引出金,-,-,-,-,-,-,-
SECT008,Q0130,決算整理等,決算日現在、現金勘定の残高が実際有高より￥200不足していた。この原因を調査したところ、A商店への現金売上￥200の記帳漏れと地代の受取額￥200を￥100と誤記入していたことが判明した。なお、残額については原因不明なため、雑損として処理する。,現金,200,売上,200,現金,売上,現金過不足,雑益,雑損,受取地代,-,-,-,-,-,-,決算時に帳簿と実際の差額が判明し、そのまま調査を行ったものについては、現金過不足を計上せず、直接正しい仕訳を行います。#本問ではA商店への現金売上￥200の記帳漏れと地代の受取額￥200を￥100と誤記入していたことが判明しました。これを反映した結果、帳簿よりも実際の方が100不足であることになります。#しかし、その不足である原因は判明しなかったため雑損として処理することになります。#よって、#（借方）現金200「資産の増加」#（借方）雑損100「費用の増加」#（貸方）売上200「収益の増加」#（貸方）受取地代100「収益の増加」#となります。
SECT008,Q0131,決算整理等,-,雑損,100,受取地代,100,現金,売上,現金過不足,雑益,雑損,受取地代,-,-,-,-,-,-,-
SECT008,Q0140,決算整理等,決算整理前残高試算表の売買目的有価証券は￥1500であり、時価￥1700に評価替えする。,売買目的有価証券,200,有価証券評価益,200,現金,当座預金,売買目的有価証券,有価証券評価益,有価証券評価損,売上,-,-,-,-,-,-,決算整理において、売買目的有価証券の時価が帳簿価額と異なっていた場合、時価に評価替えを行います。#その時の時価と帳簿価額との差額については、「有価証券評価損又は益」で仕訳をします。#本問では、帳簿価額を増加させますので、#（借方）売買目的有価証券200「資産の増加」#（貸方）有価証券評価益「収益の増加」#となります。
SECT008,Q0150,決算整理等,当期首に売買目的有価証券を1株￥50で100株購入している。期末に時価が、1株あたり￥48に下落したので評価替えを行う。,有価証券評価損,200,売買目的有価証券,200,現金,当座預金,売買目的有価証券,有価証券評価益,有価証券評価損,売上,-,-,-,-,-,-,本問では売買目的有価証券を「＠48×100株－＠50×100株＝△200（マイナス200）」しなければなりません。#よって、#（借方）有価証券評価損200「費用の増加」#（貸方）売買目的有価証券200「資産の減少」#となります。
SECT008,Q0160,決算整理等,家賃￥1000を現金で支払った。なお、店舗と住居の割合は6：4である。また、住居分については、引出金勘定を使用する。,支払家賃,600,現金,1000,現金,当座預金,支払家賃,資本金,修繕費,引出金,-,-,-,-,-,-,店舗の家賃は費用に計上しますが、住居の家賃は店主個人の出費であるため、費用に計上できません。#ここで、店主個人の出費をお店のお金から支払った場合、お店の財産の減少になりますので、資本を減少させることになります。#本問では「引出金」という勘定を用いて仕訳を行います。#よって、#（借方）支払家賃600「費用の増加」#（借方）引出金400「資本の減少」#（貸方）現金1000「資産の減少」#となります。
SECT008,Q0161,決算整理等,-,引出金,400,-,-,現金,当座預金,支払家賃,資本金,修繕費,引出金,-,-,-,-,-,-,-
SECT008,Q0170,決算整理等,修繕費￥400を小切手を振出して支払った。なお、店舗と住居の割合は5：5である。住居分については、引出金勘定は使用しない。,修繕費,200,当座預金,400,現金,当座預金,支払家賃,資本金,修繕費,引出金,-,-,-,-,-,-,店舗の家賃は費用に計上しますが、住居の家賃は店主個人の出費であるため、費用に計上できません。#ここで、店主個人の出費をお店のお金から支払った場合、お店の財産の減少になりますので、資本を減少させることになります。#本問では「引出金」勘定を用いない指示がありますのでその場合は資本金を直接減少させる仕訳を行います。#よって、#（借方）修繕費200「費用の増加」#（借方）資本金200「資本の減少」#（貸方）当座預金400「資産の減少」#となります。
SECT008,Q0171,決算整理等,-,資本金,200,-,-,現金,当座預金,支払家賃,資本金,修繕費,引出金,-,-,-,-,-,-,-
SECT008,Q0180,決算整理等,店主の所得税￥500を現金で納付した。なお、引出金勘定は使用しない。,資本金,500,現金,500,現金,当座預金,支払家賃,資本金,修繕費,引出金,-,-,-,-,-,-,店主の所得税は店主個人の出費であるため、費用に計上できません。#ここで、店主個人の出費をお店のお金から支払った場合、お店の財産の減少になりますので、資本を減少させることになります。#本問では「引出金」勘定を用いない指示がありますのでその場合は資本金を直接減少させる仕訳を行います。#よって、#（借方）資本金500「資本の減少」#（貸方）現金500「資産の減少」#となります。
SECT008,Q0190,決算整理等,店主は、店のレジから生活費のため現金￥100を引出した。引出金勘定を使用する。,引出金,100,現金,100,現金,当座預金,支払家賃,資本金,修繕費,引出金,-,-,-,-,-,-,店主の生活費は店主個人の出費であるため、費用に計上できません。#本問では「引出金」勘定を用いる指示がありますのでその指示通り引出金勘定を用いて仕訳をします。#よって、#（借方）引出金100「資本の減少」#（貸方）現金100「資産の減少」#となります。
SECT008,Q0200,決算整理等,店主の住民税￥300を現金で納付した。引出金勘定を使用する。,引出金,300,現金,300,現金,当座預金,支払家賃,資本金,修繕費,引出金,-,-,-,-,-,-,店主の住民税は店主個人の出費であるため、費用に計上できません。#本問では「引出金」勘定を用いる指示がありますのでその指示通り引出金勘定を用いて仕訳をします。#よって、#（借方）引出金300「資本の減少」#（貸方）現金300「資産の減少」#となります。
SECT008,Q0210,決算整理等,店舗の水道光熱費￥100と住居の水道光熱費￥300をあわせて現金で支払った。住居分については引出金勘定を使用する。,水道光熱費,100,現金,400,現金,当座預金,支払家賃,資本金,水道光熱費,引出金,-,-,-,-,-,-,店舗の水道光熱費は費用に計上しますが、住居の水道光熱費は店主個人の出費であるため、費用に計上できません。#本問では「引出金」勘定を用いる指示がありますのでその指示通り引出金勘定を用いて仕訳をします。#よって、#（借方）水道光熱費100「費用の増加」#（借方）引出金300「資本の減少」#（貸方）現金400「資産の減少」#となります。
SECT008,Q0211,決算整理等,-,引出金,300,-,-,現金,当座預金,支払家賃,資本金,水道光熱費,引出金,-,-,-,-,-,-,-
SECT008,Q0220,決算整理等,店主は、店の商品￥200をお中元として使用した。なお、引出金勘定は使用しない。,資本金,200,仕入,200,現金,当座預金,仕入,資本金,水道光熱費,引出金,-,-,-,-,-,-,店の商品を店主個人のお中元として使用した場合、仕入勘定を減少させ、資本を減少させる仕訳をします。#本問では引出金を使用しないという指示ですので、資本金を減少させることになります。#よって、#（借方）資本金200「資本の減少」#（貸方）仕入200「費用の減少」#となります。
SECT008,Q0230,決算整理等,店主は、当期首に店の金庫より現金を引出して、引出金勘定で処理していたが、当期中に現金￥600を店に戻入れた。,現金,600,引出金,600,現金,当座預金,支払家賃,資本金,水道光熱費,引出金,-,-,-,-,-,-,店主が以前に引出金処理をしていた資本の減少を埋め合わせるため現金を戻し入れた場合、引出金を取り崩す処理を行います。#よって、#（借方）現金600「資産の増加」#（貸方）引出金600「資本の増加（減少の取り消し）」#となります。
SECT008,Q0240,決算整理等,決算整理前残高試算表の引出金勘定は￥700である。決算整理仕訳を行いなさい。,資本金,700,引出金,700,現金,当座預金,支払家賃,資本金,水道光熱費,引出金,-,-,-,-,-,-,決算時において引出金勘定が残っている場合は、引出金を取り崩し、資本金を減少させる決算整理仕訳を行います。#よって、#（借方）資本金700「資本の減少」#（貸方）引出金700「資本の増加（減少の取り消し）」#となります。
SECT008,Q0250,決算整理等,A商店の店主は、当期中に家賃￥1000を現金で支払った。なお、店舗と住居の割合は6：4であり、住居分については、引出金勘定を使用している。決算につき、引出金勘定を整理する。,資本金,400,引出金,400,現金,当座預金,支払家賃,資本金,水道光熱費,引出金,-,-,-,-,-,-,決算時において引出金勘定が残っている場合は、引出金を取り崩し、資本金を減少させる決算整理仕訳を行います。#本問では家賃1000の内400が引出金勘定により仕訳されています。#よって、#（借方）資本金400「資本の減少」#（貸方）引出金400「資本の増加（減少の取り消し）」#となります。
[EOF],,,,,,,,,,,,,,,,,,,,
